timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;200000;205000;210000;215000;220000;225000;230000;235000;240000;245000;250000;255000;260000;260051
messages-total;0;88;446;551;551;551;551;888;888;888;888;888;888;1220;1220;1220;1220;1220;1220;1554;1554;1554;1554;1554;1554;1883;1883;1883;1883;1883;1883;2121;2228;2228;2228;2228;2228;2240;2240;2240;2240;2240;2240;2260;2260;2260;2260;2260;2260;2272;2272;2272;2272
messages-soc-custom-9;0;0;2;3;3;3;3;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
messages-soc-custom-92;0;0;2;3;3;3;3;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
messages-soc-custom-93;0;0;2;3;3;3;3;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
messages-soc-custom-7;0;0;2;3;3;3;3;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
messages-soc-custom-90;0;0;2;3;3;3;3;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
messages-soc-custom-8;0;0;2;3;3;3;3;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
messages-soc-custom-91;0;0;2;3;3;3;3;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
messages-soc-alarm;0;0;3;3;3;3;3;6;6;6;6;6;6;8;8;8;8;8;9;10;10;10;10;10;10;12;12;12;12;12;14;16;17;17;17;17;17;18;18;18;18;18;18;20;20;20;20;20;20;21;21;21;21
messages-soc-custom-96;0;0;2;3;3;3;3;5;5;5;5;5;5;7;7;7;7;7;8;9;9;9;9;9;9;11;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
